CustomerID,Country,Annual_Income,Spending_Score,Purchase_Frequency
291,Canada,87782,55,19
292,USA,112003,68,4
293,South Africa,33302,69,13
294,Kenya,70568,41,15
295,Japan,18232,45,9
296,Japan,117062,74,3
297,UK,119301,91,2
298,Brazil,66507,80,16
299,Australia,91508,30,18
300,Germany,115128,77,18
301,Brazil,25683,100,6
302,Kenya,38664,85,18
303,Australia,117364,45,11
304,Japan,48172,45,7
305,France,98641,79,23
306,Kenya,79340,84,23
307,USA,102236,84,14
308,UK,26017,45,29
309,USA,51613,55,18
310,Kenya,101130,59,7
311,India,91920,5,10
312,India,45348,32,8
313,South Africa,31448,6,24
314,Brazil,24491,94,14
315,Japan,93648,26,18
316,Japan,111557,37,5
317,Germany,73759,13,14
318,Germany,59553,93,22
319,Germany,15968,69,25
320,France,15368,25,22
321,Canada,88960,13,26
322,China,50010,88,22
323,Canada,69154,95,10
324,USA,50851,20,26
325,Canada,40496,72,15
326,France,45936,60,6
327,South Africa,93858,73,9
328,USA,82005,21,10
329,Canada,52493,61,23
330,France,84795,84,17
331,China,51390,79,1
332,Canada,25292,26,14
333,France,107377,54,4
334,Germany,43365,42,28
335,Japan,32207,11,2
336,Germany,116735,37,3
337,Japan,37912,11,28
338,Rwanda,117455,27,7
339,UK,117517,94,30
340,UK,95771,83,23
341,UK,71572,34,14
342,China,114083,38,12
343,Germany,34276,61,19
344,Rwanda,112459,87,29
345,Japan,20534,53,18
346,France,107005,65,15
347,USA,116610,3,29
348,France,50670,67,29
349,USA,77147,28,1
350,India,113099,14,25
351,France,51486,52,26
352,Canada,80557,30,3
353,Canada,49268,58,25
354,Brazil,96335,54,15
355,Germany,41336,69,4
356,USA,18641,15,15
357,USA,102132,38,10
358,Kenya,47959,78,6
359,South Africa,28306,14,13
360,Germany,61182,57,7
361,China,89123,59,26
362,Brazil,71326,8,30
363,China,111895,72,22
364,China,36498,19,1
365,China,85198,32,22
366,Rwanda,117630,95,11
367,Germany,42197,29,14
368,China,35719,41,6
369,Canada,105201,75,5
370,South Africa,40032,45,19
371,South Africa,74624,13,26
372,UK,93177,27,19
373,India,56964,19,27
374,USA,45028,26,26
375,Kenya,69646,53,13
376,USA,96187,51,7
377,India,23536,37,8
378,Kenya,71747,9,14
379,Rwanda,60712,92,19
380,Germany,21273,96,19
381,France,86820,52,23
382,Germany,106228,54,26
383,USA,89353,3,12
384,USA,109491,96,23
385,Kenya,107091,69,27
386,Kenya,100914,8,9
387,Rwanda,65830,14,14
388,India,32127,3,6
389,China,98488,24,15
390,Germany,26539,13,13
391,Kenya,61761,43,7
392,Japan,61219,29,11
393,India,29692,72,10
394,Canada,98656,51,1
395,Rwanda,28334,42,7
396,USA,43615,31,18
397,India,22903,63,23
398,Germany,43527,26,3
399,Kenya,30629,18,9
400,USA,73008,82,29
401,France,98276,57,5
402,Rwanda,114318,7,23
403,India,41708,48,24
404,Brazil,25860,80,13
405,USA,32438,60,16
406,Germany,82300,33,16
407,UK,86545,3,12
408,Japan,35842,4,18
409,Australia,75213,100,11
410,China,57372,4,17
411,Australia,113971,42,7
412,Germany,83906,9,15
413,Canada,53744,51,6
414,Canada,72442,17,6
415,UK,100990,17,18
416,China,118903,97,19
417,Brazil,18650,20,20
418,UK,60117,14,19
419,South Africa,106244,22,2
420,Australia,67772,52,3
421,UK,18190,27,14
422,Australia,63113,43,22
423,USA,23789,3,25
424,Canada,47125,88,4
425,USA,113695,94,22
426,Japan,32459,8,17
427,South Africa,50418,86,28
428,China,62085,89,6
429,Brazil,33768,10,28
430,Rwanda,64961,29,19
431,Australia,96099,40,9
432,Brazil,42885,65,4
433,Australia,102421,21,7
434,Germany,76082,24,4
435,UK,21895,73,11
436,Japan,65311,60,22
437,Canada,104494,26,30
438,Rwanda,82067,9,23
439,Kenya,86017,20,2
440,Australia,38932,56,10
441,Brazil,36360,99,6
442,Japan,69847,36,8
443,France,105365,36,15
444,Rwanda,100468,73,13
445,France,53931,22,29
446,USA,70823,1,28
447,Canada,53032,69,22
448,Kenya,96426,73,2
449,Germany,33807,37,20
450,Brazil,26767,83,1
451,Kenya,23071,72,15
452,UK,68413,96,7
453,UK,41149,13,24
454,Brazil,30540,84,26
455,China,116212,100,18
456,Germany,85248,43,10
457,Japan,106737,37,15
458,Australia,100435,94,5
459,Rwanda,34787,74,27
460,China,35982,95,24
461,Australia,37606,25,11
462,Australia,25150,93,8
463,China,100929,88,21
464,USA,117795,21,8
465,France,61936,41,30
466,Australia,108286,73,6
467,China,23593,42,15
468,China,32358,42,15
469,South Africa,97143,2,5
470,Kenya,52381,68,13
471,India,105347,8,14
472,USA,43074,96,11
473,Canada,35595,61,20
474,India,59194,14,21
475,Kenya,64377,77,12
476,Kenya,41853,21,20
477,Kenya,88719,24,1
478,India,35661,50,3
479,Brazil,65493,82,8
480,France,51495,45,23
481,China,28703,64,12
482,Rwanda,68080,64,15
483,France,45815,26,23
484,Germany,44565,32,27
485,Brazil,78321,57,3
486,Canada,73453,53,25
487,France,103478,33,22
488,Rwanda,48161,52,8
489,UK,70991,95,24
490,Kenya,24716,18,19
491,Australia,48349,35,20
492,Germany,62098,12,30
493,USA,15132,51,6
494,Canada,66990,89,18
495,Germany,83921,95,28
496,Kenya,51538,10,28
497,Australia,115572,52,11
498,Brazil,114279,34,12
499,Australia,22213,67,23
500,India,59223,39,2
501,Australia,106655,8,27
502,India,83371,96,5
503,Brazil,83274,29,28
504,Japan,19134,22,4
505,Kenya,106428,84,9
506,India,54601,70,13
507,USA,88889,61,13
508,Australia,30690,43,15
509,Australia,16909,49,2
510,USA,106239,29,23
511,UK,95032,81,13
512,China,27062,31,7
513,Japan,90386,53,23
514,Canada,108237,34,17
515,Rwanda,49731,38,8
516,India,20153,57,18
517,USA,25481,4,15
518,Rwanda,114270,2,15
519,Brazil,81425,12,5
520,India,78600,35,2
521,China,99981,70,16
522,Rwanda,86997,72,29
523,Brazil,119470,21,5
524,Germany,43205,61,23
525,Kenya,103887,35,6
526,Australia,96542,48,29
527,Germany,59149,15,12
528,India,64112,71,5
529,China,25940,15,20
530,Japan,74010,6,8
531,Rwanda,91794,81,11
532,Kenya,39485,68,14
533,India,104299,22,24
534,USA,16067,32,17
535,France,35607,22,10
536,India,76597,27,2
537,Kenya,89554,15,3
538,Australia,63521,44,13
539,Australia,30187,86,17
540,India,117911,92,27
541,Brazil,18985,9,3
542,France,58052,34,10
543,USA,34563,100,28
544,India,62322,73,8
545,Brazil,117842,15,4
546,Australia,76245,62,13
547,Australia,66514,45,29
548,China,33608,84,7
549,India,119675,72,7
550,France,82262,58,16
551,UK,107118,92,27
552,France,86327,19,5
553,Australia,72225,16,28
554,Australia,88994,75,17
555,Germany,32221,8,10
556,Australia,63506,33,4
557,USA,35968,74,23
558,Canada,97606,18,14
559,India,42937,35,5
560,Rwanda,77435,43,2
561,France,64508,50,14
562,Canada,56831,3,24
563,Brazil,57933,91,18
564,UK,62307,59,27
565,USA,63340,28,24
566,Kenya,117951,46,29
567,South Africa,101338,64,11
568,France,58601,70,16
569,Canada,90956,47,18
570,Kenya,87178,14,27
571,UK,100311,7,16
572,Germany,43754,74,21
573,Kenya,58310,79,4
574,USA,84893,31,1
575,USA,101799,93,14
576,Rwanda,63367,81,12
577,Germany,28201,51,24
578,South Africa,17739,29,10
579,India,28231,15,28
580,Kenya,57495,90,19
581,Germany,36168,76,29
582,USA,47624,25,4
583,USA,25635,61,20
584,Canada,24964,41,21
585,Australia,42785,69,3
586,South Africa,110046,4,25
587,Kenya,97797,57,4
588,Rwanda,99790,31,30
589,Rwanda,91928,3,26
590,Kenya,27336,67,15
591,UK,92475,90,11
592,Rwanda,42412,50,16
593,Germany,97212,17,27
594,UK,90379,60,4
595,Germany,60591,74,6
596,Brazil,76750,66,8
597,USA,105648,88,13
598,Australia,111134,75,23
599,Canada,50454,24,20
600,Rwanda,113537,99,4
601,Australia,77672,87,5
602,Australia,42228,32,10
603,Australia,29429,87,5
604,UK,99294,98,12
605,Germany,82808,19,1
606,Japan,97886,66,29
607,Brazil,68015,60,24
608,France,103074,66,10
609,Australia,83936,15,29
610,India,95907,85,5
611,UK,72378,35,19
612,Rwanda,52310,69,19
613,South Africa,116827,27,20
614,Rwanda,98683,88,12
615,Canada,83827,7,23
616,France,50256,6,16
617,Japan,91428,33,5
618,India,114862,58,17
619,Rwanda,117994,49,14
620,Japan,53889,17,12
621,France,66428,42,13
622,Australia,52207,94,21
623,India,65255,72,14
624,Japan,106531,40,5
625,Canada,20409,46,22
626,Germany,57438,71,30
627,USA,110359,70,23
628,Germany,22869,68,5
629,France,116260,1,29
630,UK,71862,79,27
631,USA,102937,95,30
632,Brazil,40958,89,18
633,Canada,91302,97,14
634,Brazil,34768,52,18
635,India,111330,35,29
636,Kenya,41145,69,20
637,USA,90622,5,1
638,Brazil,41442,100,7
639,Rwanda,96948,17,29
640,Brazil,40596,53,17
641,Japan,90791,52,3
642,Germany,57406,14,10
643,Japan,55524,29,7
644,USA,38332,8,27
645,USA,30764,98,28
646,France,42563,1,12
647,Japan,102675,29,22
648,China,51370,36,15
649,Rwanda,20062,51,23
650,South Africa,59645,37,21
651,Germany,22244,93,16
652,USA,21372,69,8
653,France,100501,53,6
654,Kenya,79471,96,28
655,Rwanda,31956,52,4
656,Japan,55473,88,30
657,Germany,28894,83,11
658,Kenya,113918,12,17
659,Japan,84586,52,2
660,Brazil,31709,1,28
661,Kenya,96258,7,6
662,France,30210,17,4
663,Germany,64510,98,3
664,Australia,117081,43,7
665,India,53674,71,7
666,India,115025,17,16
667,Germany,32733,59,2
668,Kenya,35080,3,8
669,Japan,117200,29,15
670,France,68412,22,27
671,South Africa,73971,38,16
672,India,54709,54,1
673,France,74846,93,27
674,India,80480,50,10
675,Brazil,67960,69,7
676,Japan,118550,30,16
677,Brazil,56152,23,10
678,Rwanda,42250,85,12
679,India,100765,90,17
680,Australia,63137,47,13
681,Australia,97011,21,12
682,Brazil,61412,20,15
683,Australia,58876,23,14
684,India,109547,68,19
685,Germany,88664,21,19
686,Brazil,65227,21,26
687,Rwanda,47450,1,14
688,South Africa,99433,15,18
689,South Africa,88704,17,30
690,UK,21861,51,26
691,Kenya,76914,63,29
692,Japan,78888,14,5
693,Australia,94286,59,20
694,Australia,76293,83,29
695,Kenya,97524,50,6
696,USA,83515,34,18
697,Rwanda,38524,6,14
698,China,22065,49,4
699,Brazil,52684,6,28
700,Rwanda,103720,69,23
701,Canada,48365,7,1
702,Australia,73876,97,13
703,Japan,38704,77,11
704,UK,72857,51,3
705,South Africa,20622,1,17
706,Australia,98797,13,18
707,UK,108955,43,25
708,India,115003,27,10
709,Rwanda,106141,71,16
710,India,109707,3,21
711,China,102700,58,13
712,Germany,94332,89,20
713,Canada,117390,97,12
714,Rwanda,111856,17,4
715,USA,81201,45,8
716,China,47694,78,12
717,France,104766,58,19
718,USA,37995,56,15
719,Brazil,107320,54,28
720,Japan,95141,87,16
721,Rwanda,97999,88,12
722,France,23419,29,20
723,France,62952,54,18
724,China,48837,27,22
725,Kenya,85799,45,12
726,Germany,63877,87,16
727,Rwanda,60687,31,25
728,Kenya,114667,36,28
729,China,52276,81,20
730,Brazil,49523,61,11
731,South Africa,81055,37,22
732,Australia,69615,67,20
733,Australia,111642,36,14
734,Germany,25514,5,2
735,Brazil,62456,46,13
736,Germany,22233,79,14
737,Rwanda,16102,52,6
738,Rwanda,81133,49,12
739,UK,61715,6,7
740,Kenya,100193,10,4
741,Australia,119085,96,28
742,France,21256,23,27
743,Kenya,79800,17,7
744,Canada,109937,84,13
745,Rwanda,56548,44,11
746,Japan,87090,41,8
747,Brazil,93200,15,27
748,USA,57367,44,19
749,Germany,104922,58,2
750,Rwanda,85382,86,21
751,Kenya,41205,50,18
752,Japan,40570,52,26
753,Kenya,45255,70,21
754,USA,36182,68,10
755,Japan,54373,63,29
756,Canada,58019,58,6
757,USA,77619,23,24
758,China,31043,44,22
759,India,60532,83,4
760,China,116290,95,19
761,Australia,80936,44,14
762,Kenya,34239,52,14
763,Rwanda,25416,67,18
764,Rwanda,18412,28,29
765,Rwanda,96976,67,17
766,India,39406,78,18
767,China,16875,18,18
768,India,52066,27,5
769,South Africa,117072,51,9
770,Kenya,20752,60,1
771,India,101753,74,4
772,France,93025,49,26
773,Germany,16353,15,7
774,Germany,41986,83,11
775,France,101907,73,14
776,Japan,119901,68,10
777,UK,29691,15,19
778,Japan,84847,51,8
779,USA,63075,48,3
780,USA,25794,72,8
781,India,83470,1,29
782,China,31406,7,18
783,China,90930,53,5
784,Germany,41872,31,20
785,Brazil,56708,18,11
786,Japan,35800,12,9
787,South Africa,58397,48,19
788,Kenya,52909,30,12
789,Australia,36352,97,27
790,Canada,116975,7,5
791,China,108848,92,16
792,Kenya,30438,3,26
793,Canada,103921,63,25
794,Kenya,59999,6,13
795,India,33482,95,6
796,Canada,47471,15,16
797,Australia,62279,71,18
798,Kenya,69213,43,17
799,France,28026,94,12
800,Australia,100184,91,27
801,Canada,20435,81,1
802,Australia,23493,18,7
803,Kenya,87227,22,14
804,UK,74321,61,28
805,Kenya,17763,61,18
806,Kenya,35389,53,23
807,India,46498,26,1
808,Japan,78755,91,20
809,France,116545,40,10
810,South Africa,50825,88,15
811,China,31934,8,29
812,USA,20574,21,11
813,Japan,53179,93,4
814,USA,16587,43,15
815,India,57782,21,21
816,France,119224,3,30
817,Rwanda,69412,31,16
818,Kenya,75561,27,30
819,Rwanda,92224,27,26
820,Rwanda,19409,73,15
821,Germany,86319,57,17
822,Rwanda,114016,97,23
823,China,41751,33,11
824,UK,53174,90,18
825,Germany,71572,92,28
826,India,76416,44,16
827,Japan,27041,43,27
828,UK,38227,31,15
829,Australia,50201,65,29
830,Canada,51069,84,11
831,UK,97190,76,13
832,South Africa,41370,17,18
833,Rwanda,110018,15,8
834,India,26586,34,9
835,Brazil,65231,80,22
836,Canada,20322,4,11
837,USA,80294,72,17
838,China,94468,98,1
839,USA,44299,89,30
840,UK,105715,79,11
841,USA,85793,28,7
842,South Africa,61501,73,8
843,India,72134,2,19
844,Australia,24777,17,25
845,Japan,26249,58,4
846,China,36390,74,4
847,South Africa,35369,9,19
848,South Africa,27881,31,24
849,USA,24587,66,9
850,Rwanda,108800,88,17
851,USA,89327,62,18
852,UK,102911,19,1
853,Japan,103147,81,14
854,Germany,22833,74,4
855,USA,62013,55,10
856,India,78620,28,23
857,Brazil,30754,92,14
858,China,93113,50,7
859,Kenya,111631,65,12
860,USA,101784,3,22
861,India,50282,79,29
862,India,51737,52,27
863,China,112427,10,16
864,Germany,39124,21,5
865,India,85102,37,11
866,Brazil,17196,15,4
867,India,76527,87,28
868,India,111651,78,13
869,India,100395,79,30
870,Australia,26345,74,8
871,Australia,49077,9,7
872,Germany,81400,44,11
873,USA,27055,39,11
874,India,118693,5,26
875,Japan,100283,25,17
876,USA,59484,56,22
877,Germany,92514,90,14
878,Rwanda,105135,64,2
879,Rwanda,50771,72,20
880,France,72654,86,21
881,USA,61540,52,8
882,USA,98151,89,22
883,Canada,119885,76,27
884,UK,44377,9,2
885,Kenya,110567,10,21
886,Canada,64573,10,15
887,Brazil,57733,73,5
888,Australia,26760,62,6
889,Australia,114250,90,17
890,UK,40762,99,8
891,China,65986,91,19
892,China,49332,60,5
893,Germany,55100,95,23
894,South Africa,19944,19,19
895,UK,63825,38,14
896,Kenya,28877,6,10
897,USA,44990,15,13
898,China,114612,93,22
899,Kenya,70283,47,5
900,India,18258,45,7
901,South Africa,46629,5,10
902,Japan,52579,78,11
903,USA,37958,53,3
904,Brazil,54465,66,13
905,India,100853,62,30
906,India,30775,23,2
907,UK,91575,44,4
908,South Africa,109633,52,3
909,Germany,49207,46,15
910,Brazil,37553,19,4
911,China,68632,88,23
912,Kenya,15055,84,21
913,UK,103697,47,4
914,China,47873,91,30
915,UK,116505,52,15
916,UK,95720,24,6
917,UK,81205,17,23
918,South Africa,93199,89,28
919,Germany,40318,46,30
920,UK,48734,64,27
921,France,97227,95,5
922,Japan,33522,28,12
923,China,26656,50,7
924,USA,30893,64,3
925,Canada,31493,28,7
926,Kenya,18632,86,12
927,Brazil,110872,56,15
928,Australia,103648,59,19
929,Germany,76779,5,30
930,USA,53452,54,6
931,India,28266,44,8
932,Rwanda,76607,42,29
933,France,31940,72,6
934,Australia,39003,92,26
935,Canada,113408,57,27
936,USA,49815,47,3
937,Australia,45869,76,28
938,USA,64297,25,5
939,Kenya,75107,44,9
940,France,97793,15,24
941,Canada,31682,51,16
942,India,34622,53,22
943,UK,45408,34,16
944,China,23837,77,9
945,India,79210,8,18
946,UK,30407,77,13
947,Rwanda,44309,100,11
948,South Africa,86918,70,25
949,South Africa,108190,96,10
950,South Africa,33895,21,29
951,Germany,114087,7,10
952,Japan,101912,90,6
953,Brazil,15370,79,16
954,Brazil,15486,56,25
955,South Africa,38762,49,12
956,China,41613,42,4
957,Canada,18196,23,5
958,France,109937,52,2
959,Canada,115565,79,19
960,France,91349,53,1
961,Canada,79839,16,4
962,Japan,56916,96,12
963,Germany,23572,37,2
964,Germany,43225,18,12
965,South Africa,60853,20,16
966,Rwanda,64390,46,2
967,UK,47275,2,17
968,Rwanda,87379,87,26
969,Australia,16105,94,28
970,Germany,74896,63,2
971,Germany,58209,3,4
972,India,112175,46,6
973,India,57487,49,29
974,UK,33051,1,28
975,Kenya,109244,22,23
976,Australia,115995,93,7
977,Rwanda,92400,14,23
978,China,115300,92,15
979,India,81961,85,20
980,China,75156,45,12
981,USA,72175,96,5
982,India,21849,6,14
983,Japan,116551,65,16
984,Kenya,33976,21,11
985,Australia,114794,4,12
986,UK,71866,3,19
987,USA,62078,30,17
988,Australia,46113,31,30
989,Rwanda,30401,34,24
990,South Africa,27884,83,26
991,Japan,99360,20,27
992,Australia,52563,87,7
993,Japan,49414,54,30
994,Japan,31142,25,9
995,China,86492,15,14
996,Canada,94464,38,26
997,South Africa,90257,23,20
998,Rwanda,91693,52,12
999,USA,50135,66,15
1000,Australia,87232,57,12
1001,France,42862,57,21
1002,USA,20190,79,21
1003,Canada,85199,52,29
1004,USA,19331,35,23
1005,Germany,67186,74,13
1006,Rwanda,59648,14,9
1007,France,43549,91,24
1008,Canada,96782,14,7
1009,China,40761,99,30
1010,Australia,18262,33,1
1011,Kenya,66259,52,28
1012,Brazil,87572,1,10
1013,Canada,68472,34,29
1014,UK,102858,19,6
1015,Rwanda,99667,24,26
1016,Australia,19677,4,15
1017,South Africa,88508,36,15
1018,Canada,95865,77,9
1019,Germany,117568,58,13
1020,Brazil,116437,32,23
1021,Germany,65617,9,1
1022,Brazil,101029,80,9
1023,South Africa,33595,67,3
1024,Kenya,102459,20,30
1025,Rwanda,75148,74,9
1026,UK,61926,62,20
1027,Australia,90271,58,25
1028,China,49457,22,29
1029,Germany,57531,67,15
1030,Germany,88263,75,24
1031,Japan,88300,89,7
1032,Brazil,78171,48,4
1033,India,60771,8,25
1034,Kenya,108135,73,20
1035,Australia,81354,15,17
1036,Brazil,52289,32,22
1037,Japan,48892,53,4
1038,USA,86196,67,26
1039,Brazil,110057,4,19
1040,China,53409,30,28
1041,Australia,49470,13,5
1042,Kenya,33385,21,16
1043,Japan,38296,41,3
1044,USA,76716,19,11
1045,Rwanda,104152,48,25
1046,France,41382,86,28
1047,Japan,91675,63,22
1048,France,112596,20,15
1049,Australia,37419,64,19
1050,Germany,108321,37,21
1051,Japan,96238,31,24
1052,Rwanda,109753,74,14
1053,UK,54291,18,16
1054,France,27397,20,24
1055,China,72888,82,6
1056,UK,50169,11,5
1057,Canada,77182,86,21
1058,Canada,107476,44,17
1059,USA,57249,82,16
1060,Kenya,43341,64,2
1061,Germany,90603,34,28
1062,Australia,61144,87,11
1063,Japan,76772,65,4
1064,India,94360,55,6
1065,China,28444,74,27
1066,France,60647,1,7
1067,Australia,113843,38,17
1068,UK,25974,9,8
1069,South Africa,53383,95,28
1070,Canada,109826,71,1
1071,South Africa,96552,17,25
1072,Rwanda,112648,99,15
1073,China,109049,52,20
1074,India,17956,18,12
1075,Japan,23077,63,15
1076,USA,51490,33,23
1077,India,118391,4,27
1078,China,70612,87,30
1079,India,115474,75,22
1080,China,51159,52,15
1081,China,54710,9,29
1082,Brazil,98536,64,9
1083,France,28806,30,16
1084,South Africa,93345,8,30
